DateTime,Open,High,Low,Close,Volume,Adj Close,InfluSum
20221230,3084.52,3096.31,3082.2,3089.26,217545344,3089.26,11393.179918999998
20221229,3076.73,3086.0,3064.46,3073.7,215570676,3073.7,7342.729474
20221228,3088.62,3098.65,3079.43,3087.4,224554151,3087.4,7188.509582
20221227,3077.75,3098.08,3074.31,3095.57,222218322,3095.57,7419.963308
20221226,3048.2,3071.84,3047.35,3065.56,206503893,3065.56,4031.48002
20221223,3038.84,3061.87,3031.54,3045.87,192020305,3045.87,11584.360497999998
20221222,3085.8,3096.24,3044.6,3054.43,223639537,3054.43,18163.725001
20221221,3078.33,3085.8,3060.55,3068.41,189067920,3068.41,12786.614111
20221220,3098.95,3100.75,3061.51,3073.77,218836766,3073.77,11787.655153
20221219,3165.31,3170.26,3096.1,3107.11,278513541,3107.11,12121.063176999996
20221216,3156.13,3175.35,3151.61,3167.86,259771795,3167.86,11848.264081
20221215,3177.2,3179.1,3158.45,3168.65,243023333,3168.65,11829.150467
20221214,3178.55,3189.84,3168.59,3176.53,265623569,3176.53,8812.298697
20221213,3179.44,3187.2,3171.48,3176.33,285821200,3176.33,9494.086640000001
20221212,3195.87,3196.72,3176.58,3179.04,333381792,3179.04,11866.550797
20221209,3197.12,3212.11,3182.91,3206.95,373343209,3206.95,17046.534117
20221208,3196.02,3206.72,3187.26,3197.35,320969294,3197.35,12963.93135
20221207,3204.94,3226.08,3188.67,3199.62,354113078,3199.62,18435.673049
20221206,3200.28,3224.82,3195.08,3212.53,373590296,3212.53,17072.358842000005
20221205,3181.92,3213.44,3177.06,3211.81,447398437,3211.81,11029.835906
20221202,3160.58,3170.9,3149.84,3156.14,307812484,3156.14,12747.383082
20221201,3187.99,3198.41,3164.53,3165.47,387013056,3165.47,16597.34474
20221130,3141.4,3158.57,3137.37,3151.34,372718321,3151.34,12769.335199000005
20221129,3096.11,3152.0,3096.11,3149.75,391449748,3149.75,17736.627243
20221128,3055.29,3080.18,3034.7,3078.55,305811284,3078.55,18979.335079000004
20221125,3085.46,3111.42,3077.97,3101.69,311431979,3101.69,26063.93077
20221124,3104.1,3113.24,3084.86,3089.31,267482928,3089.31,17830.419789
20221123,3084.74,3108.24,3075.32,3096.91,326155449,3096.91,20737.584446
20221122,3084.23,3118.12,3076.32,3088.94,327565927,3088.94,24948.650353
20221121,3078.06,3085.24,3056.17,3085.04,256045549,3085.04,12169.254534
20221118,3116.73,3126.71,3096.89,3097.24,299954276,3097.24,21894.245121
20221117,3110.96,3115.44,3087.17,3115.43,287028407,3115.43,15888.736475999998
20221116,3133.65,3145.75,3115.35,3119.98,303429844,3119.98,16101.825716
20221115,3081.13,3135.59,3074.5,3134.08,331470577,3134.08,17534.946887000002
20221114,3100.87,3121.41,3075.22,3083.4,361788216,3083.4,13714.950118
20221111,3099.65,3117.74,3070.3,3087.29,409604534,3087.29,38361.322816
20221110,3031.69,3047.98,3022.85,3036.13,270371798,3036.13,24927.614168
20221109,3064.46,3073.92,3046.19,3048.17,235637324,3048.17,20788.575214000004
20221108,3077.31,3078.28,3047.46,3064.49,256522007,3064.49,22109.112559
