DateTime,Open,High,Low,Close,Volume,Adj Close
20221230,3084.52,3096.31,3082.2,3089.26,217545344,3089.26
20221229,3076.73,3086,3064.46,3073.7,215570676,3073.7
20221228,3088.62,3098.65,3079.43,3087.4,224554151,3087.4
20221227,3077.75,3098.08,3074.31,3095.57,222218322,3095.57
20221226,3048.2,3071.84,3047.35,3065.56,206503893,3065.56
20221223,3038.84,3061.87,3031.54,3045.87,192020305,3045.87
20221222,3085.8,3096.24,3044.6,3054.43,223639537,3054.43
20221221,3078.33,3085.8,3060.55,3068.41,189067920,3068.41
20221220,3098.95,3100.75,3061.51,3073.77,218836766,3073.77
20221219,3165.31,3170.26,3096.1,3107.11,278513541,3107.11
20221216,3156.13,3175.35,3151.61,3167.86,259771795,3167.86
20221215,3177.2,3179.1,3158.45,3168.65,243023333,3168.65
20221214,3178.55,3189.84,3168.59,3176.53,265623569,3176.53
20221213,3179.44,3187.2,3171.48,3176.33,285821200,3176.33
20221212,3195.87,3196.72,3176.58,3179.04,333381792,3179.04
20221209,3197.12,3212.11,3182.91,3206.95,373343209,3206.95
20221208,3196.02,3206.72,3187.26,3197.35,320969294,3197.35
20221207,3204.94,3226.08,3188.67,3199.62,354113078,3199.62
20221206,3200.28,3224.82,3195.08,3212.53,373590296,3212.53
20221205,3181.92,3213.44,3177.06,3211.81,447398437,3211.81
20221202,3160.58,3170.9,3149.84,3156.14,307812484,3156.14
20221201,3187.99,3198.41,3164.53,3165.47,387013056,3165.47
20221130,3141.4,3158.57,3137.37,3151.34,372718321,3151.34
20221129,3096.11,3152,3096.11,3149.75,391449748,3149.75
20221128,3055.29,3080.18,3034.7,3078.55,305811284,3078.55
20221125,3085.46,3111.42,3077.97,3101.69,311431979,3101.69
20221124,3104.1,3113.24,3084.86,3089.31,267482928,3089.31
20221123,3084.74,3108.24,3075.32,3096.91,326155449,3096.91
20221122,3084.23,3118.12,3076.32,3088.94,327565927,3088.94
20221121,3078.06,3085.24,3056.17,3085.04,256045549,3085.04
20221118,3116.73,3126.71,3096.89,3097.24,299954276,3097.24
20221117,3110.96,3115.44,3087.17,3115.43,287028407,3115.43
20221116,3133.65,3145.75,3115.35,3119.98,303429844,3119.98
20221115,3081.13,3135.59,3074.5,3134.08,331470577,3134.08
20221114,3100.87,3121.41,3075.22,3083.4,361788216,3083.4
20221111,3099.65,3117.74,3070.3,3087.29,409604534,3087.29
20221110,3031.69,3047.98,3022.85,3036.13,270371798,3036.13
20221109,3064.46,3073.92,3046.19,3048.17,235637324,3048.17
20221108,3077.31,3078.28,3047.46,3064.49,256522007,3064.49
20221107,3062.86,3088.19,3054.46,3077.82,320567097,3077.82
20221104,2997,3081.59,2997,3070.8,329806740,3070.8
20221103,2981.2,3003.72,2977.72,2997.81,259348567,2997.81
20221102,2960.65,3019.05,2954.95,3003.37,325078248,3003.37
20221101,2899.5,2969.2,2896.76,2969.2,319809578,2969.2
20221031,2893.2,2926.01,2885.09,2893.48,301994203,2893.48
20221028,2967.02,2974.24,2908.98,2915.93,292531308,2915.93
20221027,3005.04,3017.26,2981.69,2982.9,265608254,2982.9
20221026,2977.56,3028.35,2977.56,2999.5,268689492,2999.5
20221025,2969.16,3001.72,2944.26,2976.28,255554160,2976.28
20221024,3034.75,3064.42,2965.17,2977.56,298085356,2977.56
20221021,3038.04,3055.42,3026.96,3038.93,245254122,3038.93
20221020,3029.3,3070.26,3013.69,3035.05,244736145,3035.05
20221019,3073.26,3081.39,3044.38,3044.38,230895310,3044.38
20221018,3094.93,3099.92,3074.22,3080.96,245634757,3080.96
20221017,3060.52,3087.19,3052.71,3084.94,262608618,3084.94
20221014,3035.03,3084.27,3035.03,3071.99,277304061,3071.99
20221013,3008.3,3036.25,3004.5,3016.36,249683281,3016.36
20221012,2976.72,3025.51,2934.09,3025.51,248013557,3025.51
20221011,2978.06,2986.91,2953.5,2979.79,208635950,2979.79
20221010,3026.94,3029.45,2968.28,2974.15,243404828,2974.15
20220930,3042.17,3054.61,3021.93,3024.39,204115336,3024.39
20220929,3067.47,3076.76,3026.08,3041.2,230030416,3041.2
20220928,3089.1,3089.1,3044.86,3045.07,230098650,3045.07
20220927,3056.39,3094.04,3048.36,3093.86,232735303,3093.86
20220926,3067.57,3102.65,3048.51,3051.23,262698628,3051.23
20220923,3106.81,3124.66,3072.24,3088.37,243057719,3088.37
20220922,3098.77,3125.68,3092.82,3108.91,221140689,3108.91
20220921,3116.01,3129.82,3091.3,3117.18,232972496,3117.18
20220920,3127.84,3140.03,3114.04,3122.41,219942534,3122.41
20220919,3122.75,3135.56,3101.22,3115.6,249113662,3115.6
20220916,3189.83,3191.83,3126.4,3126.4,316475893,3126.4
20220915,3248.97,3254.18,3174.39,3199.92,325206121,3199.92
20220914,3224.68,3250.8,3221.96,3237.54,255193365,3237.54
20220913,3272.05,3278.17,3259.66,3263.8,276189823,3263.8
20220909,3241.18,3266.2,3236.51,3262.05,283827665,3262.05
20220908,3245.56,3253.7,3233.8,3235.59,281680358,3235.59
20220907,3232.14,3253.77,3227.82,3246.29,301014466,3246.29
20220906,3207.93,3244.64,3203.82,3243.45,318869689,3243.45
20220905,3183.95,3199.91,3172.04,3199.91,280675633,3199.91
20220902,3189.64,3198.28,3173.79,3186.48,250456911,3186.48
20220901,3196.54,3214.56,3181.63,3184.98,274660541,3184.98
20220831,3216.53,3232.02,3184.39,3202.14,344408829,3202.14
